DD:MM:YYYY,hh:mm:ss,°C,°C,n/a,n/a
Date,Time,Zone:0.valueAirSensor,Zone:1.valueAirSensor,Zone:0.stateDoor,Zone:0.valueLightDimLevel
11.03.2020,11:05:04,5,-10,1,100
11.03.2020,11:05:04,5,-10,1,100
11.03.2020,11:05:05,4.9,-10,1,100
11.03.2020,11:05:07,5,-10,1,100
11.03.2020,11:07:36,4.9,-10,1,100
11.03.2020,11:07:37,4.9,-10,1,100
11.03.2020,11:07:39,4.9,-10,1,100
11.03.2020,11:07:40,4.9,-10,0,0
11.03.2020,11:07:42,5,-10,0,0
11.03.2020,11:07:43,4.9,-10,0,0
11.03.2020,11:07:44,5,-10,0,0
11.03.2020,11:07:46,4.9,-10,0,0
11.03.2020,11:07:47,4.9,-10,0,0
11.03.2020,11:07:48,4.9,-10,0,0
11.03.2020,11:07:50,5,-10,0,0
11.03.2020,11:07:51,4.9,-10,0,0
11.03.2020,11:07:52,5,-10,0,0
11.03.2020,11:07:54,5,-10,0,0
11.03.2020,11:07:55,4.9,-10,0,0
11.03.2020,11:07:57,4.9,-10,0,0
11.03.2020,11:07:58,4.9,-10,0,0
11.03.2020,11:07:59,4.9,-10,0,0
11.03.2020,11:08:01,4.9,-10,1,100
11.03.2020,11:08:02,5,-10,1,100
11.03.2020,11:08:03,4.9,-10,1,100
11.03.2020,11:08:05,4.9,-10,1,100
11.03.2020,11:08:06,5,-10,1,100
11.03.2020,11:08:08,4.9,-10,1,100
11.03.2020,11:08:09,4.9,-10,1,100
11.03.2020,11:08:10,4.9,-10,0,0
11.03.2020,11:08:12,4.9,-10,0,0
11.03.2020,11:08:13,4.9,-10,0,0
11.03.2020,11:08:15,4.9,-10,0,0
11.03.2020,11:08:16,4.9,-10,0,0
11.03.2020,11:08:17,5,-10,0,0
11.03.2020,11:08:19,4.9,-10.1,0,0
11.03.2020,11:08:20,5,-10,0,0
11.03.2020,11:08:21,5,-10,0,0
11.03.2020,11:08:23,4.9,-10.1,0,0
11.03.2020,11:08:24,4.9,-10,0,0
11.03.2020,11:08:25,4.9,-10,0,0
11.03.2020,11:08:27,4.9,-10,0,0
11.03.2020,11:08:28,4.9,-10,0,0
11.03.2020,11:08:30,4.9,-10,0,0
11.03.2020,11:08:31,4.9,-10,0,0
11.03.2020,11:08:32,4.9,-10,0,0
11.03.2020,11:08:34,4.9,-10,0,0
11.03.2020,11:08:35,4.9,-10,0,0
11.03.2020,11:08:36,4.9,-10,0,0
11.03.2020,11:08:38,4.9,-10,0,0
11.03.2020,11:08:39,4.9,-10,0,0
11.03.2020,11:08:41,4.9,-10,0,0
11.03.2020,11:08:42,4.9,-10,0,0
11.03.2020,11:08:43,4.9,-10,0,0
11.03.2020,11:08:45,4.9,-10,0,0
11.03.2020,11:08:46,4.9,-10,0,0
11.03.2020,11:08:47,4.9,-10,0,0
11.03.2020,11:08:49,4.9,-10,0,0
11.03.2020,11:08:50,5,-10,0,0
11.03.2020,11:08:52,4.9,-10,0,0
11.03.2020,11:08:53,4.9,-10,0,0
11.03.2020,11:08:54,4.9,-10,0,0
11.03.2020,11:08:56,4.9,-10,0,0
11.03.2020,11:08:57,4.9,-10,0,0
11.03.2020,11:08:58,5,-10,0,0
11.03.2020,11:09:00,4.9,-10,0,0
11.03.2020,11:09:01,4.9,-10,1,100
11.03.2020,11:09:03,4.9,-10,1,100
11.03.2020,11:09:04,5,-10,1,100
11.03.2020,11:09:05,4.9,-10.1,1,100
11.03.2020,11:09:07,5,-10.1,0,0
11.03.2020,11:09:08,4.9,-10,0,0
11.03.2020,11:09:09,4.9,-10,0,0
11.03.2020,11:09:11,5,-10.1,0,0
11.03.2020,11:09:12,4.9,-10,0,0
11.03.2020,11:09:14,5,-10,0,0
11.03.2020,11:09:15,4.9,-10,0,0
11.03.2020,11:09:16,4.9,-10,0,0
11.03.2020,11:09:18,4.9,-10,0,0
11.03.2020,11:09:19,4.9,-10,0,0
11.03.2020,11:09:20,4.9,-10,0,0
11.03.2020,11:09:22,4.9,-10,0,0
11.03.2020,11:09:23,5,-10,0,0
11.03.2020,11:09:24,4.9,-10,0,0
11.03.2020,11:09:26,4.9,-10.1,0,0
11.03.2020,11:09:27,4.9,-10,0,0
11.03.2020,11:09:29,4.9,-10,0,0
11.03.2020,11:09:30,4.9,-10,0,0
11.03.2020,11:09:31,4.9,-10,0,0
11.03.2020,11:09:33,4.9,-10.1,0,0
11.03.2020,11:09:34,4.9,-10,0,0
11.03.2020,11:09:35,4.9,-10,0,0
11.03.2020,11:09:37,4.9,-10,0,0
11.03.2020,11:09:38,4.9,-10,0,0
11.03.2020,11:09:40,5,-10.1,0,0
11.03.2020,11:09:41,4.9,-10,0,0
11.03.2020,11:09:42,5,-10,0,0
11.03.2020,11:09:44,4.9,-10,0,0
11.03.2020,11:09:45,4.9,-10,0,0
11.03.2020,11:09:46,4.9,-10,0,0
11.03.2020,11:09:48,4.9,-10,0,0
11.03.2020,11:09:49,4.9,-10,0,0
11.03.2020,11:09:51,4.9,-10,0,0
11.03.2020,11:09:52,4.9,-10.1,0,0
11.03.2020,11:09:53,5,-10,0,0
11.03.2020,11:09:55,5,-10,0,0
11.03.2020,11:09:56,4.9,-10,0,0
11.03.2020,11:09:57,5,-10,0,0
11.03.2020,11:09:59,4.9,-10,0,0
11.03.2020,11:10:00,5,-10.1,0,0
11.03.2020,11:10:01,4.9,-10,1,100
11.03.2020,11:10:03,5,-10,1,100
11.03.2020,11:10:04,4.9,-10,1,100
11.03.2020,11:10:06,4.9,-10.1,1,100
11.03.2020,11:10:07,4.9,-10,1,100
11.03.2020,11:10:08,4.9,-10,1,100
11.03.2020,11:10:10,4.9,-10,0,0
11.03.2020,11:10:11,4.9,-10,0,0
11.03.2020,11:10:13,5,-10,0,0
11.03.2020,11:10:14,4.9,-10,0,0
11.03.2020,11:10:15,5,-10,0,0
11.03.2020,11:10:17,5,-10,0,0
