DD:MM:YYYY,hh:mm:ss,�C,�C,n/a
Date,Time,TemperatureSensor:0.tempValue,TemperatureSensor:1.tempValue,OpenCloseSensor:0.stateOpenClose
18.03.2020,11:02:48,0,9,0
18.03.2020,11:02:49,0,9,0
18.03.2020,11:02:50,0,9,0
18.03.2020,11:02:52,0,9,0
18.03.2020,11:02:53,0,9,0
18.03.2020,11:02:55,0,9,0
18.03.2020,11:02:57,0,9,0
18.03.2020,11:02:59,0,9,0
18.03.2020,11:03:00,0,9,0
18.03.2020,11:03:02,0,9,0
18.03.2020,11:03:04,41.12,9,0
18.03.2020,11:03:05,41.12,9,0
18.03.2020,11:03:07,41.12,9,0
18.03.2020,11:03:09,41.12,9,0
18.03.2020,11:03:11,41.12,9,0
18.03.2020,11:03:12,41.12,9,0
18.03.2020,11:03:14,41.12,9,0
18.03.2020,11:03:16,41.12,9,0
18.03.2020,11:03:17,41.12,9,0
18.03.2020,11:03:19,41.12,9,0
18.03.2020,11:03:21,41.12,9,0
18.03.2020,11:03:22,41.12,9,0
18.03.2020,11:03:24,41.12,9,0
18.03.2020,11:03:26,41.12,9,0
18.03.2020,11:03:28,41.12,9,0
18.03.2020,11:03:29,41.12,9,0
18.03.2020,11:03:31,41.12,9,0
18.03.2020,11:03:33,41.12,9,0
18.03.2020,11:03:34,41.12,9,0
18.03.2020,11:03:36,41.12,9,0
18.03.2020,11:03:38,41.12,9,0
18.03.2020,11:03:39,41.12,9,0
18.03.2020,11:03:41,41.12,9,0
18.03.2020,11:03:43,41.12,9,0
18.03.2020,11:03:45,41.12,9,0
18.03.2020,11:03:46,41.12,9,0
18.03.2020,11:03:48,41.12,9,0
18.03.2020,11:03:50,41.12,9,0
18.03.2020,11:03:51,41.12,9,0
18.03.2020,11:03:53,41.12,9,0
18.03.2020,11:03:55,41.12,9,0
18.03.2020,11:03:57,41.12,9,0
18.03.2020,11:03:58,41.12,9,0
18.03.2020,11:04:00,41.12,9,0
18.03.2020,11:04:02,41.12,9,0
18.03.2020,11:04:03,41.12,9,0
18.03.2020,11:04:05,41.12,9,0
18.03.2020,11:04:07,41.12,9,0
18.03.2020,11:04:08,41.12,9,0
18.03.2020,11:04:10,41.12,9,0
18.03.2020,11:04:12,41.12,9,0
18.03.2020,11:04:14,41.12,9,0
18.03.2020,11:04:15,41.12,9,0
18.03.2020,11:04:17,41.12,9,0
18.03.2020,11:04:19,41.12,9,0
18.03.2020,11:04:20,41.12,9,0
18.03.2020,11:04:22,41.12,9,0
18.03.2020,11:04:24,41.12,9,0
18.03.2020,11:04:26,41.12,9,0
18.03.2020,11:04:27,41.12,9,0
18.03.2020,11:04:29,41.12,9,0
18.03.2020,11:04:31,41.24,9,0
18.03.2020,11:04:32,41.24,9,0
18.03.2020,11:04:34,41.24,9,0
18.03.2020,11:04:36,41.24,9,0
18.03.2020,11:04:38,41.24,9,0
18.03.2020,11:04:39,41.24,9,0
18.03.2020,11:04:41,41.14,9,0
18.03.2020,11:04:43,41.14,9,0
18.03.2020,11:04:44,41.14,9,0
18.03.2020,11:04:46,41.14,9,0
18.03.2020,11:04:48,41.14,9,0
18.03.2020,11:04:49,41.14,9,0
18.03.2020,11:04:51,41.14,9,0
18.03.2020,11:04:53,41.14,9,0
18.03.2020,11:04:55,41.14,9,0
18.03.2020,11:04:56,41.14,9,0
18.03.2020,11:04:58,41.14,9,0
18.03.2020,11:05:00,41.14,9,0
18.03.2020,11:05:01,41.14,9,0
18.03.2020,11:05:03,41.14,9,0
18.03.2020,11:05:05,41.14,9,0
18.03.2020,11:05:07,41.14,9,0
18.03.2020,11:05:08,41.14,9,0
18.03.2020,11:05:10,41.14,9,0
18.03.2020,11:05:12,3,9,0
18.03.2020,11:05:14,3,9,0
18.03.2020,11:05:15,3,9,0
18.03.2020,11:05:17,3,9,0
18.03.2020,11:05:19,3,9,0
18.03.2020,11:05:20,3,9,0
18.03.2020,11:05:22,3,9,0
18.03.2020,11:05:24,3,9,0
18.03.2020,11:05:25,3,9,0
18.03.2020,11:05:27,3,9,0
18.03.2020,11:05:29,3,9,0
18.03.2020,11:05:31,3,9,0
18.03.2020,11:05:32,3,9,0
18.03.2020,11:05:34,3,9,0
18.03.2020,11:05:36,3,9,0
18.03.2020,11:05:37,3,9,0
18.03.2020,11:05:39,3,9,0
18.03.2020,11:05:41,3,9,0
18.03.2020,11:05:42,3,9,0
18.03.2020,11:05:44,3,9,0
18.03.2020,11:05:46,3,9,0
18.03.2020,11:05:48,3,9,0
18.03.2020,11:05:49,3,9,0
18.03.2020,11:05:51,3,9,0
18.03.2020,11:05:53,3,9,0
18.03.2020,11:05:54,3,9,0
18.03.2020,11:05:56,3,9,0
18.03.2020,11:05:58,3,9,0
18.03.2020,11:06:00,3,6.8,0
18.03.2020,11:06:01,3,5,0
18.03.2020,11:06:03,3,5,0
18.03.2020,11:06:05,3,5,0
18.03.2020,11:06:06,3,5,0
18.03.2020,11:06:08,3,5,0
18.03.2020,11:06:10,3,5,0
18.03.2020,11:06:11,3,5,0
18.03.2020,11:06:13,3,5,0
18.03.2020,11:06:15,3,5,0
18.03.2020,11:06:17,3,5,0
18.03.2020,11:06:18,3,5,0
18.03.2020,11:06:20,3,5,0
18.03.2020,11:06:22,3,5,0
18.03.2020,11:06:23,3,5,0
18.03.2020,11:06:25,3,5,0
18.03.2020,11:06:27,3,5,0
18.03.2020,11:06:29,3,5,0
18.03.2020,11:06:30,3,5,0
18.03.2020,11:06:32,3,5,0
18.03.2020,11:06:34,3,5,0
18.03.2020,11:06:35,3,5,0
18.03.2020,11:06:37,3,5,0
18.03.2020,11:06:39,3,5,0
18.03.2020,11:06:40,3,5,0
18.03.2020,11:06:42,3,5,0
18.03.2020,11:06:43,0,5,1
18.03.2020,11:06:44,0,5,1
18.03.2020,11:06:45,0,5,1
18.03.2020,11:06:47,0,5,1
18.03.2020,11:06:49,0,5,1
18.03.2020,11:06:51,0,5,1
18.03.2020,11:06:52,0,5,1
18.03.2020,11:06:54,0,5,1
18.03.2020,11:06:56,0,5,1
18.03.2020,11:06:57,0,5,1
18.03.2020,11:06:59,0,5,1
18.03.2020,11:07:01,0,5,1
18.03.2020,11:07:03,0,5,1
18.03.2020,11:07:04,0,5,1
18.03.2020,11:07:06,0,5,1
18.03.2020,11:07:08,0,5,1
18.03.2020,11:07:09,0,5,1
18.03.2020,11:07:11,0,5,1
18.03.2020,11:07:13,0,5,1
18.03.2020,11:07:14,0,5,1
18.03.2020,11:07:16,0,5,1
18.03.2020,11:07:18,0,5,1
18.03.2020,11:07:20,0,5,1
18.03.2020,11:07:21,0,5,1
18.03.2020,11:07:23,0,5,1
18.03.2020,11:07:25,0,5,1
18.03.2020,11:07:26,0,5,1
18.03.2020,11:07:28,0,5,1
18.03.2020,11:07:30,0,5,1
18.03.2020,11:07:31,0,5,1
18.03.2020,11:07:33,0,5,1
18.03.2020,11:07:35,0,5,1
18.03.2020,11:07:37,0,5,1
18.03.2020,11:07:38,0,5,1
18.03.2020,11:07:40,0,5,1
18.03.2020,11:07:42,0,5,1
18.03.2020,11:07:43,0,4,1
18.03.2020,11:07:45,0,4,1
18.03.2020,11:07:47,0,4,1
18.03.2020,11:07:49,0,4,1
18.03.2020,11:07:50,0,4,1
18.03.2020,11:07:52,0,4,1
18.03.2020,11:07:54,0,4,1
18.03.2020,11:07:55,0,4,1
18.03.2020,11:07:57,0,4,1
18.03.2020,11:07:59,0,4,1
18.03.2020,11:08:00,0,4,1
18.03.2020,11:08:02,0,4,0
18.03.2020,11:08:04,0,4,0
18.03.2020,11:08:06,0,4,0
18.03.2020,11:08:08,0,4,0
18.03.2020,11:08:09,0,4,0
18.03.2020,11:08:11,0,4,0
18.03.2020,11:08:13,0,4,0
18.03.2020,11:08:14,0,4,0
18.03.2020,11:08:16,0,4,0
18.03.2020,11:08:18,0,3.9,0
18.03.2020,11:08:19,0,4,0
18.03.2020,11:08:21,0,4,0
18.03.2020,11:08:23,0,4,0
18.03.2020,11:08:25,0,4,0
18.03.2020,11:08:26,0,4,0
18.03.2020,11:08:28,0,4,0
18.03.2020,11:08:30,0,4,0
18.03.2020,11:08:31,0,4,0
18.03.2020,11:08:33,0,4,0
18.03.2020,11:08:35,0,4,0
18.03.2020,11:08:37,0,4,0
18.03.2020,11:08:38,0,4,0
18.03.2020,11:08:40,0,4,0
18.03.2020,11:08:42,0,4,0
18.03.2020,11:08:43,0,4,0
18.03.2020,11:08:45,0,4,0
18.03.2020,11:08:47,0,4,0
18.03.2020,11:08:48,0,4,0
18.03.2020,11:08:50,0,4,0
18.03.2020,11:08:52,0,4,0
18.03.2020,11:08:54,0,4,0
18.03.2020,11:08:55,0,4,0
18.03.2020,11:08:57,0,4,0
18.03.2020,11:08:59,0,4,0
18.03.2020,11:09:00,0,3.9,0
18.03.2020,11:09:02,0,4,0
18.03.2020,11:09:04,0,4,0
18.03.2020,11:09:05,0,4,0
18.03.2020,11:09:07,0,4,0
18.03.2020,11:09:09,0,4,0
18.03.2020,11:09:11,0,4,0
18.03.2020,11:09:12,0,4,0
18.03.2020,11:09:14,0,4,0
18.03.2020,11:09:16,0,4,0
18.03.2020,11:09:17,0,4,0
18.03.2020,11:09:19,0,4,0
18.03.2020,11:09:21,0,4,0
18.03.2020,11:09:23,0,4,0
18.03.2020,11:09:24,0,3.9,0
18.03.2020,11:09:26,0,4,0
18.03.2020,11:09:28,0,4,0
18.03.2020,11:09:29,0,4,0
18.03.2020,11:09:31,0,4,0
18.03.2020,11:09:33,0,4,0
18.03.2020,11:09:34,0,4,0
18.03.2020,11:09:36,0,4,0
18.03.2020,11:09:38,0,4,0
18.03.2020,11:09:40,0,4,0
18.03.2020,11:09:41,0,4,0
18.03.2020,11:09:43,0,4,0
18.03.2020,11:09:45,0,4,0
18.03.2020,11:09:46,0,4,0
18.03.2020,11:09:48,0,4,0
18.03.2020,11:09:50,0,4,0
18.03.2020,11:09:52,0,4,0
18.03.2020,11:09:53,0,4,0
18.03.2020,11:09:55,0,4,0
18.03.2020,11:09:57,0,4,0
18.03.2020,11:09:58,0,4,0
18.03.2020,11:10:00,0,4,0
18.03.2020,11:10:02,0,4,0
18.03.2020,11:10:03,0,4,0
18.03.2020,11:10:05,0,4,0
18.03.2020,11:10:07,0,4,0
18.03.2020,11:10:09,0,4,0
18.03.2020,11:10:10,0,3.9,0
18.03.2020,11:10:12,0,4,0
18.03.2020,11:10:14,0,4,0
18.03.2020,11:10:15,0,4,0
18.03.2020,11:10:17,0,4,0
18.03.2020,11:10:19,0,4,0
18.03.2020,11:10:20,0,4,0
18.03.2020,11:10:22,0,4,0
18.03.2020,11:10:24,0,4,0
18.03.2020,11:10:26,0,4,0
18.03.2020,11:10:27,0,4,0
18.03.2020,11:10:29,0,4,0
18.03.2020,11:10:31,0,4,0
18.03.2020,11:10:32,0,4,0
18.03.2020,11:10:34,0,4,0
18.03.2020,11:10:36,0,4,0
18.03.2020,11:10:38,0,4,0
18.03.2020,11:10:39,0,4,0
18.03.2020,11:10:41,0,4,0
18.03.2020,11:10:43,0,4,0
18.03.2020,11:10:44,0,4,0
18.03.2020,11:10:46,0,4,0
18.03.2020,11:10:48,0,4,0
18.03.2020,11:10:49,0,4,0
18.03.2020,11:10:51,0,4,0
18.03.2020,11:10:53,0,4,0
18.03.2020,11:10:55,0,4,0
18.03.2020,11:10:56,0,4,0
18.03.2020,11:10:58,0,4,0
18.03.2020,11:11:00,0,4,0
18.03.2020,11:11:01,0,4,0
18.03.2020,11:11:03,0,4,1
18.03.2020,11:11:05,0,4,1
18.03.2020,11:11:07,0,4,1
18.03.2020,11:11:09,0,4,1
18.03.2020,11:11:10,0,4,1
18.03.2020,11:11:12,0,4,1
18.03.2020,11:11:14,0,4,0
18.03.2020,11:11:15,0,4,0
18.03.2020,11:11:17,0,4,0
18.03.2020,11:11:19,0,4,0
18.03.2020,11:11:21,0,4,0
18.03.2020,11:11:22,0,4,0
18.03.2020,11:11:24,0,4,0
18.03.2020,11:11:26,0,4,0
18.03.2020,11:11:28,0,4,0
18.03.2020,11:11:29,0,4,0
18.03.2020,11:11:31,0,4,0
18.03.2020,11:11:33,0,4,0
18.03.2020,11:11:34,0,4,0
18.03.2020,11:11:36,0,4,0
18.03.2020,11:11:38,0,4,0
18.03.2020,11:11:39,0,4,0
18.03.2020,11:11:41,0,4,0
18.03.2020,11:11:43,0,4,0
18.03.2020,11:11:45,0,4,0
18.03.2020,11:11:46,0,4,0
18.03.2020,11:11:48,0,4,0
18.03.2020,11:11:50,0,3.9,0
18.03.2020,11:11:51,0,4,0
18.03.2020,11:11:53,0,4,0
18.03.2020,11:11:55,0,4,0
18.03.2020,11:11:57,0,4,0
18.03.2020,11:11:58,0,4,0
18.03.2020,11:12:00,0,4,0
18.03.2020,11:12:02,0,4,0
18.03.2020,11:12:03,0,4,0
18.03.2020,11:12:05,0,4,0
18.03.2020,11:12:07,0,4,0
18.03.2020,11:12:08,0,4,0
18.03.2020,11:12:10,41.07,4,0
18.03.2020,11:12:12,41.07,4,0
18.03.2020,11:12:14,41.07,4,0
18.03.2020,11:12:15,41.07,4,0
18.03.2020,11:12:17,41.07,4,0
18.03.2020,11:12:19,41.07,4,0
18.03.2020,11:12:20,41.07,4,0
18.03.2020,11:12:22,41.07,4,0
18.03.2020,11:12:24,41.07,4,0
18.03.2020,11:12:25,41.07,4,0
18.03.2020,11:12:27,41.07,4,0
18.03.2020,11:12:29,41.07,4,0
18.03.2020,11:12:31,41.07,4,0
18.03.2020,11:12:32,41.07,4,0
18.03.2020,11:12:34,41.07,4,0
18.03.2020,11:12:36,41.07,4,0
18.03.2020,11:12:37,41.07,4,0
18.03.2020,11:12:39,41.07,4,0
18.03.2020,11:12:41,41.07,4,0
18.03.2020,11:12:43,41.07,4,0
18.03.2020,11:12:44,41.07,4,0
18.03.2020,11:12:46,41.07,4,0
18.03.2020,11:12:48,41.07,4,0
18.03.2020,11:12:49,41.07,4,0
18.03.2020,11:12:51,41.07,4,0
18.03.2020,11:12:53,41.07,4,0
18.03.2020,11:12:54,41.07,4,0
18.03.2020,11:12:56,41.07,4,0
18.03.2020,11:12:58,41.07,4,0
18.03.2020,11:13:00,41.07,4,0
18.03.2020,11:13:01,41.07,4,0
18.03.2020,11:13:03,41.07,4,0
18.03.2020,11:13:05,41.07,4,0
18.03.2020,11:13:06,41.07,4,0
18.03.2020,11:13:08,41.07,4,0
18.03.2020,11:13:10,41.07,4,0
18.03.2020,11:13:12,41.07,4,0
18.03.2020,11:13:13,41.07,3.9,0
18.03.2020,11:13:15,41.07,4,0
18.03.2020,11:13:17,41.07,4,0
18.03.2020,11:13:18,41.07,4,0
18.03.2020,11:13:20,41.07,4,0
18.03.2020,11:13:22,41.07,4,0
18.03.2020,11:13:23,41.07,4,0
18.03.2020,11:13:25,41.07,4,0
18.03.2020,11:13:27,41.07,4,0
18.03.2020,11:13:29,41.07,4,0
18.03.2020,11:13:30,41.07,4,0
18.03.2020,11:13:32,41.07,4,0
18.03.2020,11:13:34,41.07,4,0
18.03.2020,11:13:35,41.07,4,0
18.03.2020,11:13:37,41.07,4,0
18.03.2020,11:13:39,41.07,4,0
18.03.2020,11:13:40,41.07,4,0
18.03.2020,11:13:42,41.07,4,0
18.03.2020,11:13:44,41.07,4,0
