DD:MM:YYYY;hh:mm:ss;�C;�C;�C;�C;n/a
Date;Time;Zone:0.valueAirSensor;Zone:0.valueEvaporatorSensor;Zone:1.valueAirSensor;Zone:1.valueEvaporatorSensor;OpenCloseSensor:0.stateOpenClose
12.03.2020;15:45:10;5.8;4;-15;-20.1;1
12.03.2020;15:45:10;5.8;4;-15;-20.1;1
12.03.2020;15:46:37;5.9;4;-15;-20.1;1
12.03.2020;15:46:39;6;4;-15;-20.1;1
12.03.2020;15:46:40;5.9;4;-15;-20.1;1
12.03.2020;15:46:41;6;4;-15;-20.1;1
12.03.2020;15:46:43;6;3.9;-15;-20.1;1
12.03.2020;15:46:44;5.9;3.9;-15;-20.1;1
12.03.2020;15:46:46;6;4;-15;-20.1;1
12.03.2020;15:46:47;6;4;-15;-20.1;1
12.03.2020;15:46:48;6;4;-15;-20.1;1
12.03.2020;15:46:50;5.9;4;-15;-20.1;1
12.03.2020;15:46:51;6;3.9;-15;-20.1;1
12.03.2020;15:46:52;6;4;-15;-20.1;1
12.03.2020;15:46:54;5.9;4;-15;-20.1;1
12.03.2020;15:46:55;6;4;-15;-20.1;1
12.03.2020;15:46:56;6;4;-15;-20.1;1
12.03.2020;15:46:58;6;4;-15;-20.1;1
12.03.2020;15:46:59;6;4;-15;-20.1;1
12.03.2020;15:47:01;6;4;-15;-20.1;1
12.03.2020;15:47:02;5.9;4;-15;-20.1;1
12.03.2020;15:47:03;6;4;-15;-20.1;1
12.03.2020;15:47:05;6;4;-15;-20.1;1
12.03.2020;15:47:06;6;4;-15;-20.1;1
12.03.2020;15:47:07;6;4;-15;-20.1;1
12.03.2020;15:47:09;6;4;-15;-20.1;1
12.03.2020;15:47:10;6;4;-15;-20.1;1
12.03.2020;15:47:12;6;4;-15;-20.1;1
12.03.2020;15:47:13;6;4;-15;-20.1;1
12.03.2020;15:47:14;6;4;-15;-20.1;1
12.03.2020;15:47:16;5.9;4;-15;-20.1;1
12.03.2020;15:47:17;6;4;-15;-20.1;1
12.03.2020;15:47:18;6;4;-15;-20.1;1
12.03.2020;15:47:20;6;4;-15;-20.1;1
12.03.2020;15:47:21;6;4;-15;-20.1;1
12.03.2020;15:47:22;5.9;4;-15;-20.1;1
12.03.2020;15:47:24;6;4;-15;-20.2;1
12.03.2020;15:47:25;5.9;4;-15;-20.1;1
12.03.2020;15:47:27;5.9;4;-15;-20.1;1
12.03.2020;15:47:28;5.9;3.9;-15;-20.1;1
12.03.2020;15:47:30;5.9;4;-15;-20.1;0
12.03.2020;15:47:31;5.9;4;-15;-20;0
12.03.2020;15:47:32;6;4;-15;-20;0
12.03.2020;15:47:34;6;4;-15;-20.1;0
12.03.2020;15:47:35;5.9;4;-15;-20.1;0
12.03.2020;15:47:36;5.9;4;-15;-20.1;0
12.03.2020;15:47:38;6;4;-15;-20.1;0
12.03.2020;15:47:39;6;4;-15;-20.1;0
12.03.2020;15:47:40;6;4;-15;-20.1;0
12.03.2020;15:47:42;6;4;-15;-20.1;0
12.03.2020;15:47:43;5.9;4;-15;-20.1;0
12.03.2020;15:47:45;6;4;-15;-20.1;0
12.03.2020;15:47:46;6;4;-15;-20.1;0
12.03.2020;15:47:47;6;4;-15;-20.1;0
12.03.2020;15:47:49;6;4;-15;-20.1;0
12.03.2020;15:47:50;6;4;-15;-20.1;0
12.03.2020;15:47:52;6;4;-15;-20.1;0
12.03.2020;15:47:53;6;4;-15;-20.1;0
12.03.2020;15:47:54;6;4;-15;-20.1;0
12.03.2020;15:47:56;6;4;-15;-20.1;0
12.03.2020;15:47:57;6;4;-15;-20.1;0
12.03.2020;15:47:58;6;4;-15;-20.1;1
