DD:MM:YYYY,hh:mm:ss,°C,n/a,n/a,n/a,n/a,n/a
Date,Time,Zone:0.valueAirSensor,Zone:0.stateDoor,Zone:1.stateDoor,Zone:0.stateDoorAlarm,Zone:1.stateDoorAlarm,Zone:0.valueLightDimLevel
16.03.2020,11:12:36,17.8,1,0,0,0,100
16.03.2020,11:12:36,17.8,1,0,0,0,100
16.03.2020,11:12:50,17.8,1,0,0,0,100
16.03.2020,11:12:52,17.8,1,0,0,0,100
16.03.2020,11:12:53,17.8,1,0,0,0,100
16.03.2020,11:12:55,17.8,1,0,0,0,100
16.03.2020,11:12:57,17.8,1,0,0,0,100
16.03.2020,11:12:59,17.8,1,0,0,0,100
16.03.2020,11:13:00,17.8,1,0,0,0,100
16.03.2020,11:13:02,17.8,1,0,0,0,100
16.03.2020,11:13:04,17.8,1,0,0,0,100
16.03.2020,11:13:05,17.8,1,0,0,0,100
16.03.2020,11:13:07,17.8,1,0,0,0,100
16.03.2020,11:13:09,17.8,1,0,0,0,100
16.03.2020,11:13:10,17.8,1,0,1,0,100
16.03.2020,11:13:12,17.8,1,0,1,0,100
16.03.2020,11:13:14,17.8,1,0,1,0,100
16.03.2020,11:13:16,17.8,1,0,1,0,100
16.03.2020,11:13:17,17.8,1,0,1,0,0
16.03.2020,11:13:19,17.8,1,0,1,0,0
16.03.2020,11:13:21,17.8,1,0,1,0,0
16.03.2020,11:13:22,17.8,1,0,1,0,100
16.03.2020,11:13:24,17.8,1,0,1,0,100
16.03.2020,11:13:26,17.8,1,0,1,0,100
16.03.2020,11:13:27,17.8,1,0,1,0,0
16.03.2020,11:13:29,17.8,1,0,1,0,0
16.03.2020,11:13:31,17.8,1,0,1,0,0
16.03.2020,11:13:33,17.8,1,0,1,0,0
16.03.2020,11:13:34,17.8,1,0,1,0,100
16.03.2020,11:13:36,17.8,1,0,1,0,100
16.03.2020,11:13:38,17.8,1,0,1,0,100
16.03.2020,11:13:39,17.8,1,0,1,0,0
16.03.2020,11:13:41,17.8,1,0,1,0,0
16.03.2020,11:13:43,17.8,1,0,1,0,0
16.03.2020,11:13:45,17.8,1,0,1,0,0
16.03.2020,11:13:46,17.8,1,0,1,0,100
16.03.2020,11:13:48,17.8,1,0,1,0,100
16.03.2020,11:13:50,17.8,1,0,1,0,100
16.03.2020,11:13:51,17.8,1,0,1,0,0
16.03.2020,11:13:53,17.8,1,0,1,0,0
16.03.2020,11:13:55,17.8,1,0,1,0,0
16.03.2020,11:13:56,17.9,1,0,1,0,100
16.03.2020,11:13:58,17.8,1,0,1,0,100
16.03.2020,11:14:00,17.8,1,0,1,0,100
16.03.2020,11:14:02,17.8,1,0,1,0,100
16.03.2020,11:14:03,17.8,1,0,1,0,0
16.03.2020,11:14:05,17.9,1,0,1,0,0
16.03.2020,11:14:07,17.8,1,0,1,0,0
16.03.2020,11:14:08,17.9,1,0,1,0,100
16.03.2020,11:14:10,17.9,1,0,1,0,100
16.03.2020,11:14:12,17.9,1,0,1,0,100
16.03.2020,11:14:14,17.8,1,0,1,0,100
16.03.2020,11:14:15,17.9,1,0,1,0,0
16.03.2020,11:14:17,17.9,1,0,1,0,0
16.03.2020,11:14:19,17.9,1,0,1,0,0
16.03.2020,11:14:20,17.9,1,0,1,0,100
16.03.2020,11:14:22,17.9,1,0,1,0,100
16.03.2020,11:14:24,17.9,1,0,1,0,100
16.03.2020,11:14:25,17.9,1,0,1,0,0
