DD:MM:YYYY,hh:mm:ss,n/a,n/a,°C,n/a,n/a,°C,n/a,n/a,n/a,n/a,n/a
Date,Time,FU:0.valueCompressorSpeed,FU:0.valueCondenserFanSpeed,FU:0.valueAmbientSensor,FU:0.stateCoolingSwitching,FU:0.stateCoolingSwitchingRequest,Zone:0.valueAirSensor,Zone:0.valueLightDimLevel,Zone:0.stateZone,Zone:1.stateZone,Zone:0.stateDoor,Zone:1.stateDoor
20.03.2020,10:38:26,0,0,25,0,2,10,0,0,0,0,0
20.03.2020,10:38:26,0,0,25,0,2,10,0,0,0,0,0
20.03.2020,10:38:43,0,0,25,0,2,10,0,0,0,0,0
20.03.2020,10:38:45,0,0,25,0,2,10,0,0,0,0,0
20.03.2020,10:38:46,0,0,25,0,2,10,0,0,0,0,0
20.03.2020,10:38:48,0,0,25,0,2,10,0,0,0,0,0
20.03.2020,10:38:50,0,0,25,0,2,10,0,0,0,0,0
20.03.2020,10:38:51,0,0,25,0,2,10,0,0,0,0,0
20.03.2020,10:38:53,0,0,25,0,2,10,0,0,0,0,0
20.03.2020,10:38:55,0,0,25,0,2,10,0,0,0,0,0
20.03.2020,10:38:57,0,0,25,0,2,10,0,0,0,0,0
20.03.2020,10:38:58,0,0,25,0,2,10,0,0,0,0,0
20.03.2020,10:39:00,0,0,25,0,2,9.9,0,0,0,0,0
20.03.2020,10:39:01,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,10:39:01,1957,0,25,0,0,10,0,0,0,0,0
20.03.2020,10:39:03,1957,0,25,0,0,10,0,0,0,0,0
20.03.2020,10:39:05,1957,0,25,0,0,10,0,0,0,0,0
20.03.2020,10:39:07,1957,0,25,0,0,10,0,0,0,0,0
20.03.2020,10:39:08,1957,0,25,0,0,10,0,0,0,0,0
20.03.2020,10:39:10,1957,0,25,0,0,10,0,0,0,0,0
20.03.2020,10:39:12,1957,0,25,0,0,10,0,0,0,0,0
20.03.2020,10:39:13,1957,0,25,0,0,10,0,0,0,0,0
20.03.2020,10:39:15,1957,957,25,0,0,10,0,0,0,0,0
20.03.2020,10:39:17,1957,957,25,0,0,10,0,0,0,0,0
20.03.2020,10:39:19,1957,957,25,0,0,10,0,0,0,0,0
20.03.2020,10:39:20,1957,957,25,0,0,10,0,0,0,0,0
20.03.2020,10:39:22,1957,957,25,0,0,10,0,0,0,0,0
20.03.2020,10:39:24,1957,957,25,0,0,10,0,0,0,0,0
20.03.2020,10:39:26,1957,957,25,0,0,10,0,0,0,0,0
20.03.2020,10:39:28,1957,957,25,0,0,10,0,0,0,0,0
20.03.2020,10:39:29,1957,957,25,0,3,10,0,0,0,0,0
20.03.2020,10:39:31,1957,957,25,0,3,10,0,0,0,0,0
20.03.2020,10:39:33,1957,957,25,0,3,10,0,0,0,0,0
20.03.2020,10:39:35,1957,957,25,0,3,10,0,0,0,0,0
20.03.2020,10:39:37,1957,957,25,0,3,10,0,0,0,0,0
20.03.2020,10:39:39,1957,957,25,0,3,10,0,0,0,0,0
20.03.2020,10:39:40,1957,957,25,0,3,10,0,0,0,0,0
20.03.2020,10:39:42,1957,957,25,0,3,10,0,0,0,0,0
20.03.2020,10:39:44,1957,957,25,0,3,10,0,0,0,0,0
20.03.2020,10:39:46,1957,957,25,0,3,10,0,0,0,0,0
20.03.2020,10:39:48,1957,957,25,0,3,10,0,0,0,0,0
20.03.2020,10:39:49,1957,957,25,0,3,10,0,0,0,0,0
20.03.2020,10:39:51,1957,957,25,0,3,10,47,0,0,0,0
20.03.2020,10:39:53,1957,957,25,0,3,10,47,0,0,0,0
20.03.2020,10:39:55,1957,957,25,0,3,10,47,0,0,0,0
20.03.2020,10:39:56,1957,957,25,0,3,10,47,0,0,0,0
20.03.2020,10:39:58,1957,957,25,0,3,10,47,0,0,0,0
20.03.2020,10:40:00,1957,957,25,0,3,10,47,0,0,0,0
20.03.2020,10:40:02,1957,957,25,0,3,10,47,0,0,0,0
20.03.2020,10:40:03,1957,957,25,0,3,10,47,0,0,0,0
20.03.2020,10:40:05,1957,957,25,0,3,9.9,47,0,0,0,0
20.03.2020,10:40:07,1957,957,25,0,3,10,47,0,0,0,0
20.03.2020,10:40:09,1957,957,25,0,3,10,47,0,0,0,0
20.03.2020,10:40:10,1957,957,25,0,3,10,47,0,0,0,0
20.03.2020,10:40:12,1957,957,25,0,3,10,47,0,0,0,0
20.03.2020,10:40:14,1957,957,25,0,3,9.9,47,0,0,0,0
20.03.2020,10:40:15,1957,957,25,0,3,10,47,0,0,0,0
20.03.2020,10:40:17,1957,957,25,0,3,10,47,0,0,0,0
20.03.2020,10:40:19,1957,957,25,0,3,10,47,0,0,0,0
20.03.2020,10:40:20,1957,957,25,0,3,10,47,0,0,0,0
20.03.2020,10:40:22,1957,957,25,0,3,10,47,0,0,0,0
20.03.2020,10:40:24,1957,957,25,0,3,10,47,0,0,0,0
20.03.2020,10:40:26,1957,957,25,0,3,10,47,0,0,0,0
20.03.2020,10:40:27,1957,957,25,0,3,10,47,0,0,0,0
20.03.2020,10:40:29,1957,957,25,0,3,10,47,0,0,0,0
20.03.2020,10:40:31,1957,957,25,0,3,10,47,0,0,0,0
20.03.2020,10:40:32,1957,957,25,0,3,10,47,0,0,0,0
20.03.2020,10:40:34,1957,957,25,0,3,10,47,0,0,0,0
20.03.2020,10:40:36,1957,957,25,0,3,10,47,0,0,0,0
20.03.2020,10:40:38,1957,957,25,0,3,10,47,0,0,0,0
20.03.2020,10:40:39,1957,957,25,0,3,10,47,0,0,0,0
20.03.2020,10:40:41,1957,957,25,0,3,10,47,0,0,0,0
20.03.2020,10:40:43,1957,957,25,0,3,10,47,0,0,0,0
20.03.2020,10:40:44,1957,957,25,0,3,10,47,0,0,0,0
20.03.2020,10:40:46,1957,957,25,0,3,10,47,0,0,0,0
20.03.2020,10:40:48,1957,957,25,0,3,10,47,0,0,0,0
20.03.2020,10:40:49,1957,957,25,0,3,10,47,0,0,0,0
20.03.2020,10:40:51,1957,957,25,0,3,10,47,0,0,0,0
20.03.2020,10:40:53,1957,957,25,0,3,10,47,0,0,0,0
20.03.2020,10:40:55,1957,957,25,0,3,10,47,0,0,0,0
20.03.2020,10:40:56,1957,957,25,0,3,10,47,0,0,0,0
20.03.2020,10:40:58,1957,957,25,0,3,10,47,0,0,0,0
20.03.2020,10:41:00,1957,957,25,0,3,10,47,0,0,0,0
20.03.2020,10:41:01,1957,957,25,0,3,10,47,0,0,0,0
20.03.2020,10:41:03,1957,957,25,0,3,10,47,0,0,0,0
20.03.2020,10:41:05,1957,957,25,0,3,10,47,0,0,0,0
20.03.2020,10:41:07,1957,957,25,0,3,10,47,0,0,0,0
20.03.2020,10:41:08,1957,957,25,0,3,10,47,0,0,0,0
20.03.2020,10:41:10,1957,957,25,0,3,10,47,0,0,0,0
20.03.2020,10:41:12,1957,957,25,0,3,10,47,0,0,0,0
20.03.2020,10:41:13,1957,957,25,0,3,10,47,0,0,0,0
20.03.2020,10:41:15,1957,957,25,0,3,10,47,0,0,0,0
20.03.2020,10:41:17,1957,957,25,0,3,10,47,0,0,0,0
20.03.2020,10:41:18,1957,957,25,0,3,10,47,0,0,0,0
20.03.2020,10:41:20,1957,957,25,0,3,10,47,0,0,0,0
20.03.2020,10:41:22,1957,957,25,0,3,10,47,0,0,0,0
20.03.2020,10:41:24,1957,957,25,0,3,10,47,0,0,0,0
20.03.2020,10:41:25,1957,957,25,0,3,10,47,0,0,0,0
20.03.2020,10:41:27,1957,957,25,0,3,10,47,0,0,0,0
20.03.2020,10:41:29,1957,957,25,0,3,10,47,0,0,0,0
20.03.2020,10:41:30,1957,957,25,0,3,10,47,0,0,0,0
20.03.2020,10:41:32,1957,957,25,0,3,10,47,0,0,0,0
20.03.2020,10:41:34,1957,957,25,0,3,10,47,0,0,0,0
20.03.2020,10:41:36,1957,957,25,0,3,10,47,0,0,0,0
20.03.2020,10:41:37,1957,957,25,0,3,10,47,0,0,0,0
20.03.2020,10:41:39,1957,957,25,0,3,10,47,0,0,0,0
20.03.2020,10:41:41,1957,957,25,0,3,10,47,0,0,0,0
20.03.2020,10:41:42,1957,957,25,0,3,10,47,0,0,0,0
20.03.2020,10:41:44,1957,957,25,0,3,10,47,0,0,0,0
20.03.2020,10:41:46,1957,957,25,0,3,10,47,0,0,0,0
20.03.2020,10:41:48,4500,957,25,0,3,10,47,0,0,0,0
20.03.2020,10:41:49,4500,957,25,0,3,10,47,0,0,0,0
20.03.2020,10:41:51,4500,957,25,0,3,10,47,0,0,0,0
20.03.2020,10:41:53,4500,957,25,0,3,10,47,0,0,0,0
20.03.2020,10:41:55,4500,957,25,0,3,10,47,0,0,0,0
20.03.2020,10:41:56,4500,957,25,0,3,10,47,0,0,0,0
20.03.2020,10:41:58,4500,2000,25,0,3,10,47,0,0,0,0
20.03.2020,10:42:00,4500,2000,25,0,3,10,47,0,0,0,0
20.03.2020,10:42:02,4500,2000,25,0,3,10,47,0,0,0,0
20.03.2020,10:42:03,4500,2000,25,0,3,10,47,0,0,0,0
20.03.2020,10:42:05,4500,2000,25,0,3,10,96,0,0,0,0
20.03.2020,10:42:07,4500,2000,25,0,3,10,11,0,0,0,0
20.03.2020,10:42:09,4500,2000,25,0,3,10,11,0,0,0,0
20.03.2020,10:42:11,4500,2000,25,0,3,10,11,0,0,0,0
20.03.2020,10:42:12,4500,2000,25,0,3,10,11,0,0,0,0
20.03.2020,10:42:14,4500,2000,25,0,3,10,11,0,0,0,0
20.03.2020,10:42:16,4500,2000,25,0,3,10,11,0,0,0,0
20.03.2020,10:42:18,4500,2000,25,0,3,10,11,0,0,0,0
20.03.2020,10:42:20,4500,2000,25,0,3,10,11,0,0,0,0
20.03.2020,10:42:21,0,2000,25,0,3,10,11,0,0,0,0
20.03.2020,10:42:23,0,2000,25,0,3,10,11,0,0,0,0
20.03.2020,10:42:25,0,2000,25,0,3,10,11,0,0,0,0
20.03.2020,10:42:26,0,2000,25,0,3,10,11,0,0,0,0
20.03.2020,10:42:28,0,2000,25,0,3,10,11,0,0,0,0
20.03.2020,10:42:30,0,2000,25,0,3,10,11,0,0,0,0
20.03.2020,10:42:32,0,2000,25,0,3,10,11,0,0,0,0
20.03.2020,10:42:33,0,2000,25,0,3,10,11,0,0,0,0
20.03.2020,10:42:35,0,2000,25,0,3,10,11,0,0,0,0
20.03.2020,10:42:37,0,2000,25,0,3,10,11,0,0,0,0
20.03.2020,10:42:39,0,2000,25,0,3,10,11,0,0,0,0
20.03.2020,10:42:40,0,2000,25,0,3,10,11,0,0,0,0
20.03.2020,10:42:42,0,2000,25,0,3,10,11,0,0,0,0
20.03.2020,10:42:44,0,2000,25,0,3,10,11,0,0,0,0
20.03.2020,10:42:45,0,2000,25,0,3,10,11,0,0,0,0
20.03.2020,10:42:47,0,2000,25,0,3,10,11,0,0,0,0
20.03.2020,10:42:49,0,2000,25,0,3,10,11,0,0,0,0
20.03.2020,10:42:51,0,2000,25,0,3,10,11,0,0,0,0
20.03.2020,10:42:52,0,2000,25,0,3,10,11,0,0,0,0
20.03.2020,10:42:54,0,2000,25,0,3,10,11,0,0,0,0
20.03.2020,10:42:56,0,2000,25,0,3,10,11,0,0,0,0
20.03.2020,10:42:57,0,2000,25,0,3,10,11,0,0,0,0
20.03.2020,10:42:59,0,2000,25,0,3,10,11,0,0,0,0
20.03.2020,10:43:01,0,2000,25,0,3,10.2,11,0,0,0,0
20.03.2020,10:43:02,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:43:04,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:43:06,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:43:08,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:43:09,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:43:11,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:43:13,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:43:14,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:43:16,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:43:18,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:43:20,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:43:21,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:43:23,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:43:25,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:43:26,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:43:28,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:43:30,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:43:31,0,2000,25,0,3,11.1,11,0,0,0,0
20.03.2020,10:43:33,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:43:35,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:43:37,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:43:38,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:43:40,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:43:42,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:43:43,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:43:45,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:43:47,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:43:49,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:43:50,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:43:52,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:43:54,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:43:55,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:43:57,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:43:59,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:44:00,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:44:02,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:44:04,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:44:06,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:44:07,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:44:09,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:44:11,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:44:12,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:44:14,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:44:16,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:44:17,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:44:19,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:44:21,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:44:23,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:44:24,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:44:26,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:44:28,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:44:29,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:44:31,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:44:33,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:44:35,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:44:36,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:44:38,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:44:40,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:44:41,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:44:43,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:44:45,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:44:46,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:44:48,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:44:50,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:44:52,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:44:53,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:44:55,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:44:57,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:44:58,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:45:00,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:45:02,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:45:04,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:45:05,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:45:07,0,2000,25,0,3,11.1,11,0,0,0,0
20.03.2020,10:45:09,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:45:10,0,2000,25,0,3,11.1,11,0,0,0,0
20.03.2020,10:45:12,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:45:14,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:45:15,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:45:17,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:45:19,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:45:21,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:45:22,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:45:24,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:45:26,0,2000,25,0,3,11.1,11,0,0,0,0
20.03.2020,10:45:27,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:45:29,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:45:31,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:45:33,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:45:34,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:45:36,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:45:38,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:45:39,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:45:41,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:45:43,0,2000,25,0,3,11.1,11,0,0,0,0
20.03.2020,10:45:44,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:45:46,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:45:48,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:45:50,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:45:51,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:45:53,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:45:55,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:45:56,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:45:58,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:46:00,0,2000,25,0,3,11.1,11,0,0,0,0
20.03.2020,10:46:01,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:46:03,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:46:05,0,2000,25,0,3,11,11,0,0,0,0
20.03.2020,10:46:07,0,2000,25,0,3,11,11,0,0,0,0
