DD:MM:YYYY,hh:mm:ss,°C,°C,°C,°C,°C,°C,°C,n/a,n/a,n/a,n/a,V,V,n/a,n/a,n/a,n/a
Date,Time,FU:0.valueAmbientSensor,Zone:0.valueAirSensor,Zone:1.valueAirSensor,Zone:0.valueEvaporatorSensor,Zone:1.valueEvaporatorSensor,Zone:0.valueBioSensor,Zone:1.valueBioSensor,Zone:0.stateDoor,Zone:1.stateDoor,Zone:0.stateDoorAlarm,Zone:1.stateDoorAlarm,Zone:0.valueFanSpeed,Zone:1.valueFanSpeed,Zone:0.valueLightDimLevel,Zone:0.stateZone,Zone:1.stateZone,Zone:0.stateDefrostHeaterRequest
20.03.2020,14:05:37,25,14.7,-18.1,0,-15.2,17.8,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:05:37,25,14.7,-18.1,0,-15.2,17.8,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:05:47,25,14.6,-18.1,0,-15.2,17.8,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:05:48,25,14.3,-18,0,-15.2,17.8,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:05:50,25,14.5,-18,0,-15.2,17.8,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:05:52,25,14.6,-18.1,0,-15.2,17.8,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:05:53,25,14.7,-18,0,-15.2,17.8,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:05:55,25,14.8,-18.1,0,-15.2,17.8,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:05:57,25,14.8,-18.1,0,-15.2,17.8,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:05:58,25,14.8,-18.1,0,-15.2,17.8,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:06:00,25,14.8,-18.1,0,-15.2,17.8,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:06:02,25,14.8,-18.1,0,-15.2,17.8,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:06:04,25,14.8,-18,0,-15.2,17.8,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:06:05,25,14.8,-18.1,0,-15.2,17.8,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:06:07,25,14.8,-18,0,-15.2,17.8,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:06:09,25,14.8,-18,0,-15.2,17.8,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:06:10,25,14.8,-18.1,0,-15.2,17.8,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:06:12,25,14.8,-15,0,-15.2,17.8,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:06:14,25,14.8,-15,0,-15.2,17.8,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:06:15,25,14.8,-15,0,-15.2,17.8,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:06:17,25,14.9,-15,0,-15.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:06:19,25,14.9,-15,0,-17.89,17.8,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:06:20,25,14.9,-15,0,-18.2,17.8,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:06:22,25,14.8,-15,0,-18.2,17.8,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:06:24,25,14.8,-15,0,-18.2,17.8,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:06:25,25,14.8,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:06:27,25,14.8,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:06:29,25,14.9,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:06:30,25,14.9,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:06:32,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:06:34,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:06:35,25,15,-15,0,-18.1,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:06:37,25,15,-15,0,-18.1,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:06:39,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:06:40,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:06:42,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:06:44,25,15,-15,0,-18.1,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:06:45,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:06:47,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:06:49,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:06:50,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:06:52,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:06:53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:06:53,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:06:55,25,15,-15,0,-18.1,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:06:57,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:06:58,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:07:00,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:07:02,25,15,-15,0,-18.1,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:07:03,25,15,-15,0,-18.1,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:07:05,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:07:07,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:07:08,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:07:10,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:07:12,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:07:14,25,15,-15,0,-18.1,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:07:15,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:07:17,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:07:19,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:07:20,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:07:22,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:07:24,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:07:25,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:07:27,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:07:29,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:07:30,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:07:32,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:07:34,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:07:35,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:07:37,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
